{<2025-06-14 07:34:10>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:12>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:12>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:12>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:12>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:13>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:13>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:15>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:15>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:15>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:15>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:17>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:17>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:17>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:18>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:18>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:18>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:18>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:20>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:20>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:21>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:21>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:21>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:21>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:23>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:23>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:24>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:24>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:24>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:24>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:26>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:26>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:27>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:27>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:27>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:27>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:29>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:29>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:30>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:30>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:30>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:31>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:32>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:33>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:33>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:33>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:33>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:33>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:34>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:34>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:34>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:36>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:36>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:36>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:36>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:39>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:39>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
{<2025-06-14 07:34:39>;Ip:::1;Nama API:TemplateProject/controler.GetLiveStreamCCTV;error:;}
{<2025-06-14 07:34:39>;Ip:::1;Nama API:TemplateProject/controler.GetSegmentLiveStreamCCTV;error:;}
